MFG_MONTH,TOOL_ID,M_NUM,UP_TIME,C_UP_TIME,LOT_SIZE,C_LOT_SIZE,EQP_UTIL,C_EQP_UTIL,EQP_AVAIL_RATE,TC,PROCESS_TIME,PROCESS_JOBTIME,INLINE_CT_LOT,INLINE_CT_WAFER,MOVE_QTY,C_TC,ENG_LOT_RATE,HOT_LOT_RATE,BACKUP_BY_RATE,BACKUP_FOR_RATE,RWORK_LOT_RATE,QUE_LOT_RATE,SAMPLING_RATE,NUM_RECIPE,CHANGE_RECIPE
202002,DIA01,3,0.869169836,0.047685088,21.90138067,0.086386843,0.853936001,0.244404221,3.610878661,1.049949947,1.623339532,1.62206958,0.12479722,0.129499311,11104,0.527336368,0.004052594,0.017381124,0,0,9.01E-05,0.999909942,0,21,0.729783037
202002,DIA02,3,0.939559493,0.043948353,22.47166362,0.11973247,0.831419509,0.250339977,3.601340034,0.999155356,1.584688372,1.583142099,0.128621915,0.129374962,12292,0.483039473,0.007972665,0.023755288,0,0,0,0.998535633,0,9,0.499085923
202002,DIA03,3,0.845287043,0.049649801,20.59318996,0.155126328,0.813669547,0.25503074,2.118967452,1.39629085,1.586008854,1.58422746,0.268565776,0.284644966,11491,0.193049733,0.013401793,0.058654599,0,0,0.000609172,0.851013837,0,18,0.792114695
202002,DIA04,3,0.949348026,0.044050513,21.25426945,0.171462094,0.921836489,0.225027024,2.24222073,1.278703091,1.800379636,1.799307141,0.196889015,0.193186221,11201,0.558853259,0.041514151,0.118828676,0,0.000892777,8.93E-05,0.991340059,0,28,0.770398482
202002,DIA05,3,0.893458725,0.0468586,19.5408805,0.203258746,0.87998946,0.235343075,2.90832396,1.021788741,1.399751906,1.397482971,0.174340844,0.175104079,12428,0.516908724,0.013115546,0.044254908,0,0.001206952,0,0.893466366,0,32,0.59591195
202002,DIA07,3,0.901163212,0.046441797,22.79649123,0.191976854,0.978734395,0.21196317,1.718327183,2.164021719,3.728033005,3.726581591,0.486549844,0.459242923,6497,0.453603316,0.03232261,0.019085732,0,0.118054487,0,0.859165769,0,17,0.6
202002,DIA09,3,0.891356715,0.047018055,21.60115607,0.217476058,0.891784541,0.232309933,1.612751391,1.740387205,2.99464841,2.993356155,0.322239992,0.378314193,7474,0.484293117,0.017126037,0.151056998,0,0,0.000133797,0.358843993,0,22,0.598265896
202002,DIA10,2,0.997914691,0.042127048,18.59,0.264007022,0.214367395,0.983986062,0.5,3.379772727,3.470661111,3.469691667,0.24915787,0.240754805,1859,0.416333693,0.112963959,0.227003765,0,0,0.001075847,0.883270576,0,5,0.55
202002,DIA11,3,0.847308852,0.050299745,21.83585859,0.237595283,0.855214048,0.246097859,1.125440451,1.177252137,1.726834919,1.725667136,0.279724216,0.295517459,8647,0.536516967,0.009598705,0.083728461,0,0,0.000809529,0.755059558,0,49,0.52020202
202002,DIA12,3,0.931272815,0.045610343,21.92193309,0.248550992,0.969785989,0.217272807,2.258174098,2.47841294,4.072198868,4.071011323,0.567278073,0.576053759,5897,0.487168702,0.004409022,0.015940309,0,0,0,0,0,10,0.3866171
